city,column,detector,n,perfit_s,search_s
amsterdam,apparent_temperature,LOF,20352,0.02213262498844415,0.5533156247111037
amsterdam,precipitation,LOF,500,0.0010161669924855232,0.02540417481213808
amsterdam,precipitation,LOF,1000,0.0026822919899132103,0.06705729974783026
amsterdam,precipitation,LOF,1500,0.004893917008303106,0.12234792520757765
amsterdam,precipitation,LOF,2000,0.008296499989228323,0.20741249973070808
amsterdam,precipitation,LOF,3000,0.01655916598974727,0.4139791497436818
amsterdam,precipitation,LOF,4000,0.030294166004750878,0.7573541501187719
amsterdam,precipitation,LOF,5000,0.044615082995733246,1.1153770748933312
amsterdam,precipitation,LOF,6000,0.061743541999021545,1.5435885499755386
amsterdam,precipitation,LOF,7500,0.09288112501963042,2.3220281254907604
amsterdam,precipitation,LOF,9000,0.14297958399401978,3.5744895998504944
amsterdam,precipitation,LOF,10000,0.1723627079918515,4.309067699796287
amsterdam,precipitation,LOF,12000,0.2398978330020327,5.997445825050818
amsterdam,precipitation,LOF,14000,0.3190970410068985,7.977426025172463
amsterdam,precipitation,LOF,15000,0.35973716599983163,8.99342914999579
amsterdam,precipitation,LOF,17000,0.4973635830101557,12.434089575253893
amsterdam,precipitation,LOF,19000,0.6086915000050794,15.217287500126986
amsterdam,precipitation,LOF,20352,0.6916639169794507,17.29159792448627
amsterdam,surface_pressure,ECOD,500,0.0003605419769883156,0.00901354942470789
amsterdam,surface_pressure,ECOD,1000,0.0004044579982291907,0.010111449955729768
amsterdam,surface_pressure,ECOD,1500,0.0004632920026779175,0.011582300066947937
amsterdam,surface_pressure,ECOD,2000,0.0006007500051055104,0.015018750127637759
amsterdam,surface_pressure,ECOD,3000,0.0006353749777190387,0.015884374442975968
amsterdam,surface_pressure,ECOD,4000,0.0007786249916534871,0.019465624791337177
amsterdam,surface_pressure,ECOD,5000,0.0009041250159498304,0.02260312539874576
amsterdam,surface_pressure,ECOD,6000,0.0010045839881058782,0.025114599702646956
amsterdam,surface_pressure,ECOD,7500,0.001159749983344227,0.028993749583605677
amsterdam,surface_pressure,ECOD,9000,0.0013342920283321291,0.03335730070830323
amsterdam,surface_pressure,ECOD,10000,0.001506166998296976,0.0376541749574244
amsterdam,surface_pressure,ECOD,12000,0.0017007499991450459,0.04251874997862615
amsterdam,surface_pressure,ECOD,14000,0.001948374992934987,0.048709374823374674
amsterdam,surface_pressure,ECOD,15000,0.002049625007202849,0.05124062518007122
amsterdam,surface_pressure,ECOD,17000,0.002354416996240616,0.058860424906015396
amsterdam,surface_pressure,ECOD,19000,0.0025711670168675482,0.0642791754216887
amsterdam,surface_pressure,ECOD,20352,0.002682791993720457,0.06706979984301142
amsterdam,soil_temperature_7_to_28cm,LOF,500,0.0007362079923041165,0.018405199807602912
amsterdam,soil_temperature_7_to_28cm,LOF,1000,0.0011188329954165965,0.027970824885414913
amsterdam,soil_temperature_7_to_28cm,LOF,1500,0.0016148749855346978,0.040371874638367444
amsterdam,soil_temperature_7_to_28cm,LOF,2000,0.001917665998917073,0.047941649972926825
amsterdam,soil_temperature_7_to_28cm,LOF,3000,0.0029083749977871776,0.07270937494467944
amsterdam,soil_temperature_7_to_28cm,LOF,4000,0.003743666020454839,0.09359165051137097
amsterdam,soil_temperature_7_to_28cm,LOF,5000,0.004720707976957783,0.11801769942394458
amsterdam,soil_temperature_7_to_28cm,LOF,6000,0.005748541007051244,0.1437135251762811
amsterdam,soil_temperature_7_to_28cm,LOF,7500,0.007553915987955406,0.18884789969888516
amsterdam,soil_temperature_7_to_28cm,LOF,9000,0.009098832990275696,0.2274708247568924
amsterdam,soil_temperature_7_to_28cm,LOF,10000,0.010321957990527153,0.2580489497631788
amsterdam,soil_temperature_7_to_28cm,LOF,12000,0.012946000002557412,0.3236500000639353
amsterdam,soil_temperature_7_to_28cm,LOF,14000,0.015528582996921614,0.38821457492304035
amsterdam,soil_temperature_7_to_28cm,LOF,15000,0.017108125000959262,0.42770312502398156
amsterdam,soil_temperature_7_to_28cm,LOF,17000,0.019794249994447455,0.49485624986118637
amsterdam,soil_temperature_7_to_28cm,LOF,19000,0.022924916993360966,0.5731229248340242
amsterdam,soil_temperature_7_to_28cm,LOF,20352,0.02533833298366517,0.6334583245916292
amsterdam,soil_moisture_7_to_28cm,LOF,500,0.0007659169787075371,0.019147924467688426
amsterdam,soil_moisture_7_to_28cm,LOF,1000,0.0013946249964646995,0.03486562491161749
amsterdam,soil_moisture_7_to_28cm,LOF,1500,0.0017282920016441494,0.043207300041103736
amsterdam,soil_moisture_7_to_28cm,LOF,2000,0.00207162500009872,0.051790625002468005
