city,column,detector,n,perfit_s,search_s
new_york,precipitation,LOF,6000,0.07084245802252553,1.7710614505631384
new_york,precipitation,LOF,7500,0.10714974999427795,2.678743749856949
new_york,precipitation,LOF,9000,0.16430104200844653,4.107526050211163
new_york,precipitation,LOF,10000,0.19717316702008247,4.929329175502062
new_york,precipitation,LOF,12000,0.27516620798269287,6.879155199567322
new_york,precipitation,LOF,14000,0.36758529098005965,9.189632274501491
new_york,precipitation,LOF,15000,0.4172718749905471,10.431796874763677
new_york,precipitation,LOF,17000,0.5754532499995548,14.38633124998887
new_york,precipitation,LOF,19000,0.7047585409891326,17.618963524728315
new_york,precipitation,LOF,20352,0.7991353340039495,19.97838335009874
new_york,surface_pressure,ECOD,500,0.00038537499494850636,0.009634374873712659
new_york,surface_pressure,ECOD,1000,0.0004113329923711717,0.010283324809279293
new_york,surface_pressure,ECOD,1500,0.00044737497228197753,0.011184374307049438
new_york,surface_pressure,ECOD,2000,0.0005254579882603139,0.013136449706507847
new_york,surface_pressure,ECOD,3000,0.0006211670115590096,0.015529175288975239
new_york,surface_pressure,ECOD,4000,0.0007302919984795153,0.018257299961987883
new_york,surface_pressure,ECOD,5000,0.000840833003167063,0.021020825079176575
new_york,surface_pressure,ECOD,6000,0.0009625419916119426,0.024063549790298566
new_york,surface_pressure,ECOD,7500,0.0011464999988675117,0.028662499971687794
new_york,surface_pressure,ECOD,9000,0.0013132080202922225,0.03283020050730556
new_york,surface_pressure,ECOD,10000,0.0014380409847944975,0.03595102461986244
new_york,surface_pressure,ECOD,12000,0.0016531659930478781,0.041329149826196954
new_york,surface_pressure,ECOD,14000,0.0018889170023612678,0.047222925059031695
new_york,surface_pressure,ECOD,15000,0.0020125419832766056,0.05031354958191514
new_york,surface_pressure,ECOD,17000,0.0022447500086855143,0.05611875021713786
new_york,surface_pressure,ECOD,19000,0.0025354170065838844,0.06338542516459711
new_york,surface_pressure,ECOD,20352,0.0026783750217873603,0.06695937554468401
new_york,soil_temperature_7_to_28cm,LOF,500,0.0007710419886279851,0.019276049715699628
new_york,soil_temperature_7_to_28cm,LOF,1000,0.0011907500156667084,0.02976875039166771
new_york,soil_temperature_7_to_28cm,LOF,1500,0.0016902500065043569,0.04225625016260892
new_york,soil_temperature_7_to_28cm,LOF,2000,0.002036167017649859,0.05090417544124648
new_york,soil_temperature_7_to_28cm,LOF,3000,0.0031207499851007015,0.07801874962751754
new_york,soil_temperature_7_to_28cm,LOF,4000,0.003882375021930784,0.0970593755482696
new_york,soil_temperature_7_to_28cm,LOF,5000,0.004850540979532525,0.12126352448831312
new_york,soil_temperature_7_to_28cm,LOF,6000,0.0059422089834697545,0.14855522458674386
new_york,soil_temperature_7_to_28cm,LOF,7500,0.007702457980485633,0.19256144951214083
new_york,soil_temperature_7_to_28cm,LOF,9000,0.008938209008192644,0.2234552252048161
new_york,soil_temperature_7_to_28cm,LOF,10000,0.009964625001884997,0.24911562504712492
new_york,soil_temperature_7_to_28cm,LOF,12000,0.012378209008602425,0.30945522521506064
new_york,soil_temperature_7_to_28cm,LOF,14000,0.014919166977051646,0.37297917442629114
new_york,soil_temperature_7_to_28cm,LOF,15000,0.016145667003002018,0.40364167507505044
new_york,soil_temperature_7_to_28cm,LOF,17000,0.017992415989283472,0.4498103997320868
new_york,soil_temperature_7_to_28cm,LOF,19000,0.02125841600354761,0.5314604000886902
new_york,soil_temperature_7_to_28cm,LOF,20352,0.02292125002713874,0.5730312506784685
new_york,soil_moisture_7_to_28cm,LOF,500,0.0007558749930467457,0.01889687482616864
new_york,soil_moisture_7_to_28cm,LOF,1000,0.0011805829999502748,0.02951457499875687
new_york,soil_moisture_7_to_28cm,LOF,1500,0.0016465000226162374,0.041162500565405935
new_york,soil_moisture_7_to_28cm,LOF,2000,0.0021345840068534017,0.05336460017133504
new_york,soil_moisture_7_to_28cm,LOF,3000,0.0030666670063510537,0.07666667515877634
new_york,soil_moisture_7_to_28cm,LOF,4000,0.003882624994730577,0.09706562486826442
new_york,soil_moisture_7_to_28cm,LOF,5000,0.004869374999543652,0.1217343749885913
new_york,soil_moisture_7_to_28cm,LOF,6000,0.005906417005462572,0.1476604251365643
new_york,soil_moisture_7_to_28cm,LOF,7500,0.007824917003745213,0.19562292509363033
new_york,soil_moisture_7_to_28cm,LOF,9000,0.008954249991802499,0.22385624979506247
new_york,soil_moisture_7_to_28cm,LOF,10000,0.009959333983715624,0.2489833495928906
new_york,soil_moisture_7_to_28cm,LOF,12000,0.012010832986561581,0.30027082466403954
new_york,soil_moisture_7_to_28cm,LOF,14000,0.0146099999838043,0.3652499995951075
new_york,soil_moisture_7_to_28cm,LOF,15000,0.01638575000106357,0.40964375002658926
new_york,soil_moisture_7_to_28cm,LOF,17000,0.0186556659755297,0.4663916493882425
new_york,soil_moisture_7_to_28cm,LOF,19000,0.021323374996427447,0.5330843749106862
new_york,soil_moisture_7_to_28cm,LOF,20352,0.023681916994974017,0.5920479248743504
