city,scope,model_name,target_column,precision,recall,f1,f2,n_rows,n_positive_true,n_positive_pred,train_time_s,infer_time_s,search_time_s,total_time_s
london,univariate,OCSVM,soil_temperature_7_to_28cm,0.018691588785046728,0.029850746268656716,0.022988505747126436,0.02666666666666667,20856,67,107,0.0209,0.01767,5.1514,5.1723
london,univariate,OCSVM,soil_moisture_7_to_28cm,0.0210016155088853,0.2826086956521739,0.039097744360902256,0.08094645080946451,20856,92,1238,0.0076,0.006483,10.9592,10.9667
new_york,multivariate,OCSVM,ALL_FEATURES,0.5436893203883495,0.2616822429906542,0.35331230283911674,0.291970802919708,20856,214,103,0.0426,0.039315,8.3362,8.3788
new_york,univariate,OCSVM,temperature_2m,0.004866180048661801,0.20512820512820512,0.009506833036244802,0.022222222222222223,20856,78,3288,0.0091,0.008035,5.0882,5.0973
new_york,univariate,OCSVM,apparent_temperature,0.005076142131979695,0.013333333333333334,0.007352941176470588,0.01006036217303823,20856,75,197,0.0406,0.036562,5.1886,5.2292
new_york,univariate,VAE,precipitation,0.003964321110009911,0.05263157894736842,0.007373271889400922,0.015232292460015232,20856,76,1009,0.6993,0.000282,13.6701,14.3694
new_york,univariate,VAE,surface_pressure,0.6545454545454545,0.48,0.5538461538461539,0.5070422535211268,20856,75,55,4.1492,0.000558,12.0242,16.1734
new_york,univariate,VAE,soil_temperature_7_to_28cm,0.0,0.0,0.0,0.0,20856,73,140,1.6639,0.000223,9.1288,10.7928
new_york,univariate,AE,soil_moisture_7_to_28cm,1.0,0.025974025974025976,0.05063291139240506,0.03225806451612903,20856,77,2,0.1884,0.000622,6.0736,6.262
paris,multivariate,AE,ALL_FEATURES,0.4666666666666667,0.3,0.3652173913043478,0.3230769230769231,20856,210,135,0.3646,0.000828,10.8414,11.2061
paris,univariate,AE,temperature_2m,0.005449591280653951,0.024691358024691357,0.008928571428571428,0.01447178002894356,20856,81,367,0.1454,0.00055,7.0777,7.2231
paris,univariate,VAE,apparent_temperature,0.0049586776859504135,0.036585365853658534,0.008733624454148471,0.01607717041800643,20856,82,605,0.3053,0.000193,8.8223,9.1276
paris,univariate,AE,precipitation,0.003705075954057058,0.12345679012345678,0.007194244604316547,0.016539861065167052,20856,81,2699,1.5458,0.000935,13.7011,15.2469
paris,univariate,OCSVM,surface_pressure,0.575,1.0,0.7301587301587301,0.8712121212121212,20856,69,120,0.076,0.067494,10.7219,10.7979
paris,univariate,VAE,soil_temperature_7_to_28cm,1.0,0.012987012987012988,0.02564102564102564,0.016181229773462782,20856,77,1,1.6381,0.000768,10.2291,11.8672
paris,univariate,OCSVM,soil_moisture_7_to_28cm,0.14285714285714285,0.0410958904109589,0.06382978723404255,0.04792332268370607,20856,73,21,0.0528,0.046084,5.4989,5.5517
tokyo,multivariate,OCSVM,ALL_FEATURES,0.43902439024390244,0.25961538461538464,0.32628398791540786,0.28272251308900526,20856,208,123,0.0447,0.040199,8.3129,8.3576
tokyo,univariate,AE,temperature_2m,0.008412787436904094,0.16304347826086957,0.016,0.03486750348675035,20856,92,1783,1.1533,0.000619,9.3825,10.5358
tokyo,univariate,AE,apparent_temperature,0.010101010101010102,0.012987012987012988,0.011363636363636364,0.012285012285012284,20856,77,99,1.3089,0.000798,10.9904,12.2993
tokyo,univariate,AE,precipitation,0.004561003420752566,0.10526315789473684,0.008743169398907104,0.019436345966958212,20856,76,1754,0.9181,0.000537,13.5569,14.475
tokyo,univariate,OCSVM,surface_pressure,0.8260869565217391,1.0,0.9047619047619048,0.9595959595959596,20856,57,69,0.2654,0.241351,5.6803,5.9457
tokyo,univariate,AE,soil_temperature_7_to_28cm,0.11428571428571428,0.06666666666666667,0.08421052631578947,0.07272727272727272,20856,60,35,0.514,0.000557,6.6581,7.1721
tokyo,univariate,VAE,soil_moisture_7_to_28cm,0.009320905459387484,0.08045977011494253,0.016706443914081145,0.03184713375796178,20856,87,751,0.2776,0.000652,7.689,7.9666
