inj_seed,column,anomaly_rate,shift_pct,model,precision,recall,f1,f2,n_synthetic,n_caught,n_missed,missed_rate,n_extra_flags,extra_flag_rate,n_pos,n_neg,recall_pos,recall_neg
42,initialDemandOutturn,0.05,0.5,ECOD,0.5484,0.948,0.6949,0.8274,442,419,23,0.052,345,0.0411,222,220,0.9054,0.9909
42,initialTransmissionSystemDemandOutturn,0.05,0.5,IForest,0.6226,0.8733,0.7269,0.8082,442,386,56,0.1267,234,0.0279,217,225,0.8249,0.92
42,initialDemandOutturn,0.1,0.1,HBOS,0.3868,0.59,0.4673,0.5339,883,521,362,0.41,826,0.1039,436,447,0.5528,0.6264
42,initialTransmissionSystemDemandOutturn,0.1,0.1,HBOS,0.36,0.6569,0.4651,0.5639,883,580,303,0.3431,1031,0.1297,444,439,0.6261,0.6879
42,initialDemandOutturn,0.1,0.2,HBOS,0.5612,0.8562,0.678,0.7747,883,756,127,0.1438,591,0.0744,436,447,0.8532,0.8591
42,initialTransmissionSystemDemandOutturn,0.1,0.2,HBOS,0.5123,0.8709,0.6451,0.764,883,769,114,0.1291,732,0.0921,444,439,0.8514,0.8907
42,initialDemandOutturn,0.1,0.3,HBOS,0.6013,0.9173,0.7265,0.8301,883,810,73,0.0827,537,0.0676,436,447,0.9266,0.9083
42,initialTransmissionSystemDemandOutturn,0.1,0.3,HBOS,0.5984,0.9128,0.7229,0.826,883,806,77,0.0872,541,0.0681,444,439,0.8986,0.9271
42,initialDemandOutturn,0.1,0.4,HBOS,0.8031,0.8867,0.8428,0.8686,883,783,100,0.1133,192,0.0242,436,447,0.8807,0.8926
42,initialTransmissionSystemDemandOutturn,0.1,0.4,HBOS,0.6132,0.9354,0.7408,0.8465,883,826,57,0.0646,521,0.0656,444,439,0.9347,0.9362
42,initialDemandOutturn,0.1,0.5,HBOS,0.7939,0.9468,0.8636,0.9117,883,836,47,0.0532,217,0.0273,436,447,0.9518,0.9418
42,initialTransmissionSystemDemandOutturn,0.1,0.5,ECOD,0.8186,0.8788,0.8476,0.8661,883,776,107,0.1212,172,0.0216,444,439,0.8018,0.9567
42,initialDemandOutturn,0.2,0.1,ECOD,0.4957,0.4932,0.4945,0.4937,1766,871,895,0.5068,886,0.1254,891,875,0.486,0.5006
42,initialTransmissionSystemDemandOutturn,0.2,0.1,ECOD,0.498,0.4955,0.4967,0.496,1766,875,891,0.5045,882,0.1249,867,899,0.4694,0.5206
42,initialDemandOutturn,0.2,0.2,ECOD,0.669,0.6569,0.6629,0.6592,1766,1160,606,0.3431,574,0.0813,891,875,0.6229,0.6914
42,initialTransmissionSystemDemandOutturn,0.2,0.2,ECOD,0.6803,0.6687,0.6745,0.671,1766,1181,585,0.3313,555,0.0786,867,899,0.6101,0.7253
42,initialDemandOutturn,0.2,0.3,ECOD,0.7561,0.7424,0.7491,0.7451,1766,1311,455,0.2576,423,0.0599,891,875,0.6958,0.7897
42,initialTransmissionSystemDemandOutturn,0.2,0.3,ECOD,0.7632,0.7503,0.7567,0.7528,1766,1325,441,0.2497,411,0.0582,867,899,0.684,0.8142
42,initialDemandOutturn,0.2,0.4,ECOD,0.797,0.7826,0.7897,0.7854,1766,1382,384,0.2174,352,0.0498,891,875,0.7363,0.8297
42,initialTransmissionSystemDemandOutturn,0.2,0.4,ECOD,0.8039,0.7894,0.7966,0.7922,1766,1394,372,0.2106,340,0.0481,867,899,0.7301,0.8465
42,initialDemandOutturn,0.2,0.5,ECOD,0.8203,0.8063,0.8132,0.8091,1766,1424,342,0.1937,312,0.0442,891,875,0.7688,0.8446
42,initialTransmissionSystemDemandOutturn,0.2,0.5,ECOD,0.8237,0.8097,0.8167,0.8125,1766,1430,336,0.1903,306,0.0433,867,899,0.7589,0.8587
