inj_seed,column,anomaly_rate,shift_pct,model,precision,recall,f1,f2,n_synthetic,n_caught,n_missed,missed_rate,n_extra_flags,extra_flag_rate,n_pos,n_neg,recall_pos,recall_neg
1,initialDemandOutturn,0.1,0.5,IForest,0.5715,0.9728,0.72,0.853,883,859,24,0.0272,644,0.081,436,447,0.9564,0.9888
1,initialTransmissionSystemDemandOutturn,0.1,0.5,ECOD,0.8175,0.8777,0.8465,0.865,883,775,108,0.1223,173,0.0218,451,432,0.7982,0.9606
1,initialDemandOutturn,0.2,0.1,ECOD,0.4821,0.474,0.478,0.4756,1766,837,929,0.526,899,0.1273,858,908,0.4639,0.4835
1,initialTransmissionSystemDemandOutturn,0.2,0.1,ECOD,0.4747,0.4723,0.4735,0.4727,1766,834,932,0.5277,923,0.1307,904,862,0.4381,0.5081
1,initialDemandOutturn,0.2,0.2,ECOD,0.6621,0.6501,0.656,0.6524,1766,1148,618,0.3499,586,0.083,858,908,0.5967,0.7004
1,initialTransmissionSystemDemandOutturn,0.2,0.2,ECOD,0.6619,0.6506,0.6562,0.6528,1766,1149,617,0.3494,587,0.0831,904,862,0.5874,0.7169
1,initialDemandOutturn,0.2,0.3,ECOD,0.7606,0.7322,0.7461,0.7377,1766,1293,473,0.2678,407,0.0576,858,908,0.6632,0.7974
1,initialTransmissionSystemDemandOutturn,0.2,0.3,ECOD,0.7512,0.7384,0.7447,0.7409,1766,1304,462,0.2616,432,0.0612,904,862,0.6615,0.819
1,initialDemandOutturn,0.2,0.4,ECOD,0.8035,0.7735,0.7882,0.7793,1766,1366,400,0.2265,334,0.0473,858,908,0.7145,0.8293
1,initialTransmissionSystemDemandOutturn,0.2,0.4,ECOD,0.7978,0.7843,0.791,0.7869,1766,1385,381,0.2157,351,0.0497,904,862,0.7146,0.8573
1,initialDemandOutturn,0.2,0.5,ECOD,0.8179,0.8137,0.8158,0.8145,1766,1437,329,0.1863,320,0.0453,858,908,0.7657,0.859
1,initialTransmissionSystemDemandOutturn,0.2,0.5,ECOD,0.8214,0.8075,0.8144,0.8102,1766,1426,340,0.1925,310,0.0439,904,862,0.7434,0.8747
