column,anomaly_rate,shift_pct,precision,recall,f1,f2,missed_rate,extra_flag_rate,recall_pos,recall_neg,model
initialDemandOutturn,0.05,0.5,0.55105,0.9524999999999999,0.6981999999999999,0.83135,0.0475,0.0409,0.91615,0.9887,ECOD
initialDemandOutturn,0.1,0.1,0.35285,0.607,0.4447,0.52885,0.393,0.126,0.55965,0.65325,ECOD
initialDemandOutturn,0.1,0.2,0.5553,0.84715,0.67085,0.7665500000000001,0.15284999999999999,0.0754,0.84175,0.8523499999999999,HBOS
initialDemandOutturn,0.1,0.3,0.59945,0.9145,0.7242500000000001,0.82755,0.08549999999999999,0.06789999999999999,0.92085,0.9083,HBOS
initialDemandOutturn,0.1,0.4,0.7482500000000001,0.89295,0.8129,0.8587,0.10705,0.0342,0.8555,0.9295,ECOD
initialDemandOutturn,0.1,0.5,0.6827000000000001,0.9598,0.7918000000000001,0.88235,0.0402,0.054150000000000004,0.9541,0.9653,IForest
initialDemandOutturn,0.2,0.1,0.4889,0.48360000000000003,0.48624999999999996,0.48465,0.5164,0.12635000000000002,0.47495,0.49205,ECOD
initialDemandOutturn,0.2,0.2,0.6655500000000001,0.6535,0.6594500000000001,0.6557999999999999,0.34650000000000003,0.08215,0.6098,0.6959,ECOD
initialDemandOutturn,0.2,0.3,0.7583500000000001,0.7373,0.7476,0.7414000000000001,0.2627,0.05875,0.6795,0.79355,ECOD
initialDemandOutturn,0.2,0.4,0.80025,0.7780499999999999,0.78895,0.78235,0.22195,0.048549999999999996,0.7254,0.8295,ECOD
initialDemandOutturn,0.2,0.5,0.8190999999999999,0.81,0.8145,0.8118000000000001,0.19,0.04475,0.76725,0.8518,ECOD
initialTransmissionSystemDemandOutturn,0.01,0.1,0.18023333333333333,0.4848666666666667,0.2618,0.3607666666666667,0.5151333333333333,0.02266666666666667,0.3582666666666667,0.6197666666666667,ECOD
initialTransmissionSystemDemandOutturn,0.01,0.2,0.3729,0.7310333333333334,0.48963333333333336,0.6078,0.26896666666666663,0.013033333333333333,0.6474666666666667,0.8235,ECOD
initialTransmissionSystemDemandOutturn,0.01,0.3,0.6637333333333334,0.7424,0.6948,0.7210333333333333,0.2576,0.0041,0.6776,0.8152,ECOD
initialTransmissionSystemDemandOutturn,0.01,0.4,0.7376,0.8712,0.798,0.8401333333333333,0.1288,0.003166666666666667,0.7847666666666667,0.9678666666666667,ECOD
initialTransmissionSystemDemandOutturn,0.01,0.5,0.7643,0.9318,0.8332,0.8873666666666667,0.0682,0.0033000000000000004,0.8776666666666667,0.9920666666666667,ECOD
