time,city_id,target_column,model_name,y_value,original_value,is_synthetic,shift_pct,y_true,y_pred,label,anomaly_score,anomaly_prob,score_percentile,threshold_score,contamination,best_obj_f2,param_n_neighbors,param_leaf_size
2024-11-16 09:00:00,paris,temperature_2m,LOF,6.5,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-16 10:00:00,paris,temperature_2m,LOF,6.9,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-16 11:00:00,paris,temperature_2m,LOF,7.9,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-16 12:00:00,paris,temperature_2m,LOF,8.6,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-16 13:00:00,paris,temperature_2m,LOF,9.1,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-16 14:00:00,paris,temperature_2m,LOF,9.4,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-16 15:00:00,paris,temperature_2m,LOF,9.2,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-16 16:00:00,paris,temperature_2m,LOF,9.2,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-16 17:00:00,paris,temperature_2m,LOF,8.9,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-16 18:00:00,paris,temperature_2m,LOF,7.8,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-16 19:00:00,paris,temperature_2m,LOF,7.0,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-16 20:00:00,paris,temperature_2m,LOF,6.5,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-16 21:00:00,paris,temperature_2m,LOF,6.7,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-16 22:00:00,paris,temperature_2m,LOF,6.4,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-16 23:00:00,paris,temperature_2m,LOF,5.8,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-17 00:00:00,paris,temperature_2m,LOF,5.6,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-17 01:00:00,paris,temperature_2m,LOF,4.9,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
2024-11-17 02:00:00,paris,temperature_2m,LOF,4.2,,False,0.0,0,0,TN,1.0,0.0,46.5,3180765.721844,0.04345707630414606,0.15896,46,12
